time,.layout.dim,.layout.data_offset,.data
2025/04/18/02:29:19.331997,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.430442,[],0,"(41602, -57, -61, -57, -59)"
2025/04/18/02:29:19.430558,[],0,"(41341, -53, -49, -50, -49)"
2025/04/18/02:29:19.430581,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.430711,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.430740,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.430855,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.430867,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.430920,[],0,"(41628, -56, -60, -61, -59)"
2025/04/18/02:29:19.431060,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.431070,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.431082,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.431109,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.530668,[],0,"(41602, -56, -60, -56, -58)"
2025/04/18/02:29:19.530793,[],0,"(41341, -53, -49, -50, -49)"
2025/04/18/02:29:19.530802,[],0,"(41628, -56, -61, -62, -58)"
2025/04/18/02:29:19.530934,[],0,"(41628, -49, -53, -54, -51)"
2025/04/18/02:29:19.531122,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:19.531134,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.531251,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:19.531467,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.531606,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.531618,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:19.531741,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.531755,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:19.531763,[],0,"(41628, -56, -60, -61, -59)"
2025/04/18/02:29:19.630543,[],0,"(41602, -56, -61, -56, -58)"
2025/04/18/02:29:19.630699,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.630725,[],0,"(41628, -49, -54, -55, -52)"
2025/04/18/02:29:19.630858,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.630877,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:19.630891,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:19.630957,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.631094,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.631100,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.631106,[],0,"(41628, -56, -61, -62, -58)"
2025/04/18/02:29:19.631152,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.631171,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.731128,[],0,"(41602, -56, -61, -55, -58)"
2025/04/18/02:29:19.731684,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.732576,[],0,"(41341, -53, -49, -50, -49)"
2025/04/18/02:29:19.732769,[],0,"(41628, -49, -54, -55, -52)"
2025/04/18/02:29:19.733335,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.733563,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.733826,[],0,"(41628, -56, -60, -61, -59)"
2025/04/18/02:29:19.734067,[],0,"(41628, -56, -60, -61, -59)"
2025/04/18/02:29:19.734269,[],0,"(41628, -50, -55, -56, -53)"
2025/04/18/02:29:19.734439,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.734635,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.734811,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.734996,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.830766,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.830918,[],0,"(41341, -53, -49, -50, -49)"
2025/04/18/02:29:19.831078,[],0,"(41628, -49, -54, -55, -52)"
2025/04/18/02:29:19.831088,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.831103,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.831252,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.831259,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.831273,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.831444,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.831453,[],0,"(41628, -57, -60, -62, -59)"
2025/04/18/02:29:19.831459,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.831496,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.930914,[],0,"(41602, -56, -61, -56, -58)"
2025/04/18/02:29:19.931102,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:19.931115,[],0,"(41341, -54, -50, -50, -50)"
2025/04/18/02:29:19.931126,[],0,"(41628, -49, -54, -55, -52)"
2025/04/18/02:29:19.931243,[],0,"(41628, -56, -61, -62, -58)"
2025/04/18/02:29:19.931262,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.931283,[],0,"(41628, -56, -61, -62, -59)"
2025/04/18/02:29:19.931390,[],0,"(41628, -56, -60, -61, -58)"
