time,.layout.dim,.layout.data_offset,.data
2025/04/18/02:25:25.274405,[],0,"(41602, 0, 410, 41341, 0, 410, 41628, 0, 410)"
2025/04/18/02:25:25.371012,[],0,"(41602, 0, 510, 41341, 0, 510, 41628, 0, 510)"
2025/04/18/02:25:25.475657,[],0,"(41602, 0, 60, 41341, 0, 60, 41628, 0, 60)"
2025/04/18/02:25:25.574386,[],0,"(41602, 0, 160, 41341, 0, 160, 41628, 0, 160)"
2025/04/18/02:25:25.674586,[],0,"(41602, 0, 260, 41341, 0, 260, 41628, 0, 260)"
2025/04/18/02:25:25.771657,[],0,"(41602, 0, 360, 41341, 0, 360, 41628, 0, 360)"
2025/04/18/02:25:25.871218,[],0,"(41602, 0, 460, 41341, 0, 460, 41628, 0, 460)"
2025/04/18/02:25:25.970903,[],0,"(41602, 0, 560, 41341, 0, 560, 41628, 0, 560)"
2025/04/18/02:25:26.074496,[],0,"(41602, 0, 90, 41341, 0, 660, 41628, 0, 660)"
2025/04/18/02:25:26.170015,[],0,"(41602, 0, 190, 41341, 0, 760, 41628, 0, 760)"
2025/04/18/02:25:26.271979,[],0,"(41602, 0, 290, 41341, 0, 860, 41628, 0, 860)"
2025/04/18/02:25:26.371924,[],0,"(41602, 0, 390, 41341, 0, 960, 41628, 0, 960)"
2025/04/18/02:25:26.470282,[],0,"(41602, 0, 60, 41341, 0, 60, 41628, 0, 60)"
2025/04/18/02:25:26.569808,[],0,"(41602, 0, 160, 41341, 0, 160, 41628, 0, 160)"
2025/04/18/02:25:26.670239,[],0,"(41602, 0, 260, 41341, 0, 260, 41628, 0, 260)"
2025/04/18/02:25:26.770293,[],0,"(41602, 0, 360, 41341, 0, 360, 41628, 0, 360)"
2025/04/18/02:25:26.870040,[],0,"(41602, 0, 460, 41341, 0, 460, 41628, 0, 460)"
2025/04/18/02:25:26.970130,[],0,"(41602, 0, 560, 41341, 0, 560, 41628, 0, 560)"
2025/04/18/02:25:27.069916,[],0,"(41602, 0, 660, 41341, 0, 660, 41628, 0, 660)"
2025/04/18/02:25:27.171536,[],0,"(41602, 0, 760, 41341, 0, 760, 41628, 0, 760)"
2025/04/18/02:25:27.270220,[],0,"(41602, 0, 860, 41341, 0, 860, 41628, 0, 860)"
2025/04/18/02:25:27.370290,[],0,"(41602, 0, 960, 41341, 0, 960, 41628, 0, 960)"
2025/04/18/02:25:27.470991,[],0,"(41602, 0, 30, 41341, 0, 30, 41628, 0, 30)"
2025/04/18/02:25:27.576738,[],0,"(41602, 0, 130, 41341, 0, 130, 41628, 0, 130)"
2025/04/18/02:25:27.670848,[],0,"(41602, 0, 230, 41341, 0, 230, 41628, 0, 230)"
2025/04/18/02:25:27.779149,[],0,"(41602, 0, 330, 41341, 0, 330, 41628, 0, 330)"
2025/04/18/02:25:27.870410,[],0,"(41602, 0, 430, 41341, 0, 430, 41628, 0, 430)"
2025/04/18/02:25:27.971096,[],0,"(41602, 0, 530, 41341, 0, 530, 41628, 0, 530)"
2025/04/18/02:25:28.071002,[],0,"(41602, 0, 630, 41341, 0, 630, 41628, 0, 630)"
2025/04/18/02:25:28.175199,[],0,"(41602, 0, 730, 41341, 0, 730, 41628, 0, 730)"
2025/04/18/02:25:28.270755,[],0,"(41602, 0, 830, 41341, 0, 830, 41628, 0, 830)"
2025/04/18/02:25:28.372674,[],0,"(41602, 0, 930, 41341, 0, 930, 41628, 0, 930)"
2025/04/18/02:25:28.469551,[],0,"(41602, 0, 30, 41341, 0, 30, 41628, 0, 30)"
2025/04/18/02:25:28.579678,[],0,"(41602, 0, 140, 41341, 0, 140, 41628, 0, 140)"
2025/04/18/02:25:28.675544,[],0,"(41602, 0, 230, 41341, 0, 230, 41628, 0, 230)"
2025/04/18/02:25:28.774114,[],0,"(41602, 0, 330, 41341, 0, 330, 41628, 0, 330)"
2025/04/18/02:25:28.871476,[],0,"(41602, 0, 430, 41341, 0, 430, 41628, 0, 430)"
2025/04/18/02:25:28.971137,[],0,"(41602, 0, 530, 41341, 0, 530, 41628, 0, 530)"
2025/04/18/02:25:29.071290,[],0,"(41602, 0, 630, 41341, 0, 630, 41628, 0, 630)"
2025/04/18/02:25:29.171417,[],0,"(41602, 0, 730, 41341, 0, 730, 41628, 0, 730)"
2025/04/18/02:25:29.275209,[],0,"(41602, 0, 830, 41341, 0, 830, 41628, 0, 830)"
2025/04/18/02:25:29.372114,[],0,"(41602, 0, 930, 41341, 0, 930, 41628, 0, 930)"
2025/04/18/02:25:29.471413,[],0,"(41602, 0, 30, 41341, 0, 30, 41628, 0, 20)"
2025/04/18/02:25:29.571136,[],0,"(41602, 0, 130, 41341, 0, 130, 41628, 0, 120)"
2025/04/18/02:25:29.670910,[],0,"(41602, 0, 230, 41341, 0, 230, 41628, 0, 220)"
2025/04/18/02:25:29.770777,[],0,"(41602, 0, 330, 41341, 0, 330, 41628, 0, 320)"
2025/04/18/02:25:29.870654,[],0,"(41602, 0, 430, 41341, 0, 430, 41628, 0, 420)"
2025/04/18/02:25:29.971519,[],0,"(41602, 0, 30, 41341, 0, 30, 41628, 0, 30)"
2025/04/18/02:25:30.070677,[],0,"(41602, 0, 130, 41341, 0, 130, 41628, 0, 130)"
2025/04/18/02:25:30.170434,[],0,"(41602, 0, 230, 41341, 0, 230, 41628, 0, 230)"
2025/04/18/02:25:30.270347,[],0,"(41602, 0, 330, 41341, 0, 330, 41628, 0, 330)"
2025/04/18/02:25:30.370337,[],0,"(41602, 0, 430, 41341, 0, 430, 41628, 0, 430)"
2025/04/18/02:25:30.469778,[],0,"(41602, 0, 530, 41341, 0, 530, 41628, 0, 530)"
2025/04/18/02:25:30.571708,[],0,"(41602, 0, 100, 41341, 0, 100, 41628, 0, 100)"
2025/04/18/02:25:30.669692,[],0,"(41602, 0, 200, 41341, 0, 200, 41628, 0, 200)"
2025/04/18/02:25:30.769812,[],0,"(41602, 0, 300, 41341, 0, 300, 41628, 0, 300)"
2025/04/18/02:25:30.877793,[],0,"(41602, 0, 400, 41341, 0, 400, 41628, 0, 400)"
2025/04/18/02:25:30.973984,[],0,"(41602, 0, 500, 41341, 0, 500, 41628, 0, 500)"
2025/04/18/02:25:31.071639,[],0,"(41602, 0, 600, 41341, 0, 600, 41628, 0, 600)"
2025/04/18/02:25:31.170975,[],0,"(41602, 0, 700, 41341, 0, 700, 41628, 0, 700)"
2025/04/18/02:25:31.271352,[],0,"(41602, 0, 800, 41341, 0, 800, 41628, 0, 800)"
2025/04/18/02:25:31.375005,[],0,"(41602, 0, 900, 41341, 0, 900, 41628, 0, 900)"
2025/04/18/02:25:31.474398,[],0,"(41602, 0, 1000, 41341, 0, 1000, 41628, 0, 1000)"
2025/04/18/02:25:31.572677,[],0,"(41602, 0, 100, 41341, 0, 100, 41628, 0, 100)"
2025/04/18/02:25:31.673263,[],0,"(41602, 0, 200, 41341, 0, 200, 41628, 0, 200)"
2025/04/18/02:25:31.770513,[],0,"(41602, 0, 300, 41341, 0, 300, 41628, 0, 300)"
2025/04/18/02:25:31.870476,[],0,"(41602, 0, 400, 41341, 0, 400, 41628, 0, 400)"
2025/04/18/02:25:31.970595,[],0,"(41602, 0, 500, 41341, 0, 500, 41628, 0, 500)"
2025/04/18/02:25:32.070388,[],0,"(41602, 0, 600, 41341, 0, 600, 41628, 0, 600)"
2025/04/18/02:25:32.174483,[],0,"(41602, 0, 700, 41341, 0, 700, 41628, 0, 700)"
2025/04/18/02:25:32.273141,[],0,"(41602, 0, 800, 41341, 0, 800, 41628, 0, 800)"
2025/04/18/02:25:32.374665,[],0,"(41602, 0, 900, 41341, 0, 900, 41628, 0, 900)"
2025/04/18/02:25:32.480157,[],0,"(41602, 0, 0, 41341, 0, 0, 41628, 0, 0)"
2025/04/18/02:25:32.571199,[],0,"(41602, 0, 100, 41341, 0, 100, 41628, 0, 100)"
2025/04/18/02:25:32.675490,[],0,"(41602, 0, 200, 41341, 0, 200, 41628, 0, 200)"
2025/04/18/02:25:32.774511,[],0,"(41602, 0, 300, 41341, 0, 300, 41628, 0, 300)"
2025/04/18/02:25:32.871903,[],0,"(41602, 0, 400, 41341, 0, 400, 41628, 0, 400)"
2025/04/18/02:25:32.971795,[],0,"(41602, 0, 500, 41341, 0, 500, 41628, 0, 500)"
2025/04/18/02:25:33.074418,[],0,"(41602, 0, 600, 41341, 0, 600, 41628, 0, 600)"
2025/04/18/02:25:33.171015,[],0,"(41602, 0, 700, 41341, 0, 700, 41628, 0, 700)"
2025/04/18/02:25:33.272375,[],0,"(41602, 0, 800, 41341, 0, 800, 41628, 0, 800)"
2025/04/18/02:25:33.372594,[],0,"(41602, 0, 900, 41341, 0, 900, 41628, 0, 900)"
2025/04/18/02:25:33.471798,[],0,"(41602, 0, 1000, 41341, 0, 1000, 41628, 0, 1000)"
2025/04/18/02:25:33.572156,[],0,"(41602, 0, 70, 41341, 0, 70, 41628, 0, 70)"
2025/04/18/02:25:33.670745,[],0,"(41602, 0, 170, 41341, 0, 170, 41628, 0, 170)"
2025/04/18/02:25:33.770755,[],0,"(41602, 0, 20, 41341, 0, 20, 41628, 0, 20)"
2025/04/18/02:25:33.870999,[],0,"(41602, 0, 120, 41341, 0, 120, 41628, 0, 120)"
2025/04/18/02:25:33.984318,[],0,"(41602, 0, 230, 41341, 0, 230, 41628, 0, 230)"
2025/04/18/02:25:34.070674,[],0,"(41602, 0, 320, 41341, 0, 320, 41628, 0, 320)"
2025/04/18/02:25:34.170685,[],0,"(41602, 0, 420, 41341, 0, 420, 41628, 0, 420)"
2025/04/18/02:25:34.270665,[],0,"(41602, 0, 520, 41341, 0, 520, 41628, 0, 520)"
2025/04/18/02:25:34.370416,[],0,"(41602, 0, 620, 41341, 0, 620, 41628, 0, 620)"
2025/04/18/02:25:34.473647,[],0,"(41602, 0, 720, 41341, 0, 720, 41628, 0, 720)"
2025/04/18/02:25:34.571248,[],0,"(41602, 0, 70, 41341, 0, 70, 41628, 0, 70)"
2025/04/18/02:25:34.677854,[],0,"(41602, 0, 170, 41341, 0, 170, 41628, 0, 170)"
2025/04/18/02:25:34.775270,[],0,"(41602, 0, 270, 41341, 0, 270, 41628, 0, 270)"
2025/04/18/02:25:34.874641,[],0,"(41602, 0, 370, 41341, 0, 370, 41628, 0, 370)"
2025/04/18/02:25:34.971581,[],0,"(41602, 0, 470, 41341, 0, 470, 41628, 0, 470)"
2025/04/18/02:25:35.071179,[],0,"(41602, 0, 40, 41341, 0, 40, 41628, 0, 40)"
2025/04/18/02:25:35.174437,[],0,"(41602, 0, 140, 41341, 0, 140, 41628, 0, 140)"
2025/04/18/02:25:35.271053,[],0,"(41602, 0, 240, 41341, 0, 240, 41628, 0, 240)"
2025/04/18/02:25:35.375195,[],0,"(41602, 0, 340, 41341, 0, 340, 41628, 0, 340)"
