time,.layout.dim,.layout.data_offset,.data
2025/04/18/02:25:19.321123,[],0,"(41628, -56, -62, -61, -59)"
2025/04/18/02:25:19.321383,[],0,"(41628, -56, -62, -61, -59)"
2025/04/18/02:25:19.321692,[],0,"(41628, -56, -62, -61, -59)"
2025/04/18/02:25:19.321806,[],0,"(41602, -56, -60, -55, -58)"
2025/04/18/02:25:19.321917,[],0,"(41628, -50, -55, -54, -52)"
2025/04/18/02:25:19.322038,[],0,"(41628, -56, -61, -61, -59)"
2025/04/18/02:25:19.322249,[],0,"(41341, -49, -47, -50, -49)"
2025/04/18/02:25:19.322386,[],0,"(41628, -56, -62, -61, -59)"
2025/04/18/02:25:19.322489,[],0,"(41628, -57, -61, -61, -59)"
2025/04/18/02:25:19.322610,[],0,"(41628, -56, -62, -61, -59)"
2025/04/18/02:25:19.322725,[],0,"(41628, -56, -62, -61, -59)"
2025/04/18/02:25:19.322732,[],0,"(41628, -56, -62, -61, -59)"
2025/04/18/02:25:19.322736,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.421147,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.421256,[],0,"(41628, -56, -61, -61, -59)"
2025/04/18/02:25:19.421364,[],0,"(41602, -56, -60, -55, -58)"
2025/04/18/02:25:19.421484,[],0,"(41628, -50, -55, -54, -52)"
2025/04/18/02:25:19.421604,[],0,"(41341, -49, -47, -50, -49)"
2025/04/18/02:25:19.421729,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.421741,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.421917,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.421934,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.422055,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.422060,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.521549,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.521691,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.521697,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.521700,[],0,"(41628, -54, -59, -58, -56)"
2025/04/18/02:25:19.521834,[],0,"(41628, -56, -62, -61, -59)"
2025/04/18/02:25:19.521946,[],0,"(41628, -50, -55, -54, -52)"
2025/04/18/02:25:19.521952,[],0,"(41341, -49, -46, -50, -49)"
2025/04/18/02:25:19.521960,[],0,"(41628, -56, -61, -61, -59)"
2025/04/18/02:25:19.522102,[],0,"(41628, -57, -61, -61, -59)"
2025/04/18/02:25:19.522108,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.522231,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.522236,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.522245,[],0,"(41628, -56, -61, -61, -59)"
2025/04/18/02:25:19.621235,[],0,"(41628, -57, -61, -61, -59)"
2025/04/18/02:25:19.621374,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.621500,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.621639,[],0,"(41602, -56, -60, -55, -58)"
2025/04/18/02:25:19.621767,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.621894,[],0,"(41628, -50, -55, -54, -52)"
2025/04/18/02:25:19.621990,[],0,"(41341, -49, -46, -50, -49)"
2025/04/18/02:25:19.622103,[],0,"(41628, -56, -62, -61, -59)"
2025/04/18/02:25:19.622108,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.622218,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.622223,[],0,"(41628, -56, -62, -61, -59)"
2025/04/18/02:25:19.622347,[],0,"(41628, -56, -61, -61, -59)"
2025/04/18/02:25:19.622353,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.721171,[],0,"(41628, -57, -62, -61, -59)"
2025/04/18/02:25:19.721333,[],0,"(41628, -57, -61, -61, -59)"
2025/04/18/02:25:19.721425,[],0,"(41628, -56, -62, -61, -59)"
2025/04/18/02:25:19.721554,[],0,"(41602, -55, -60, -55, -57)"
2025/04/18/02:25:19.721563,[],0,"(41628, -56, -62, -61, -59)"
2025/04/18/02:25:19.721568,[],0,"(41628, -50, -55, -54, -52)"
