time,.layout.dim,.layout.data_offset,.data
2025/04/18/03:08:11.722283,[],0,"(41628, -69, -74, -72, -67)"
2025/04/18/03:08:11.723234,[],0,"(41628, -65, -70, -69, -63)"
2025/04/18/03:08:11.724557,[],0,"(41628, -69, -75, -72, -67)"
2025/04/18/03:08:11.724944,[],0,"(41628, -69, -74, -73, -68)"
2025/04/18/03:08:11.725169,[],0,"(41628, -69, -74, -73, -68)"
2025/04/18/03:08:11.725276,[],0,"(41628, -69, -74, -73, -68)"
2025/04/18/03:08:11.725283,[],0,"(41628, -69, -74, -73, -68)"
2025/04/18/03:08:11.725286,[],0,"(41602, -57, -59, -64, -62)"
2025/04/18/03:08:11.725294,[],0,"(41602, -63, -63, -68, -66)"
2025/04/18/03:08:11.725302,[],0,"(41602, -63, -63, -68, -66)"
2025/04/18/03:08:11.725445,[],0,"(41602, -63, -63, -67, -65)"
2025/04/18/03:08:11.725457,[],0,"(41602, -63, -62, -67, -65)"
2025/04/18/03:08:11.822438,[],0,"(41341, -47, -45, -46, -46)"
2025/04/18/03:08:11.822553,[],0,"(41602, -63, -63, -67, -65)"
2025/04/18/03:08:11.822823,[],0,"(41628, -64, -70, -69, -64)"
2025/04/18/03:08:11.823842,[],0,"(41602, -62, -63, -67, -65)"
2025/04/18/03:08:11.824165,[],0,"(41602, -62, -62, -67, -65)"
2025/04/18/03:08:11.824845,[],0,"(41602, -63, -62, -67, -65)"
2025/04/18/03:08:11.825652,[],0,"(41602, -62, -62, -67, -65)"
2025/04/18/03:08:11.825807,[],0,"(41602, -56, -58, -62, -60)"
2025/04/18/03:08:11.825812,[],0,"(41602, -62, -62, -67, -65)"
2025/04/18/03:08:11.825815,[],0,"(41602, -62, -62, -67, -65)"
2025/04/18/03:08:11.825819,[],0,"(41602, -62, -61, -67, -65)"
2025/04/18/03:08:11.825998,[],0,"(41602, -62, -63, -66, -64)"
2025/04/18/03:08:11.921876,[],0,"(41602, -62, -61, -66, -65)"
2025/04/18/03:08:11.922034,[],0,"(41341, -49, -46, -47, -48)"
2025/04/18/03:08:11.922047,[],0,"(41341, -54, -51, -51, -52)"
2025/04/18/03:08:11.922055,[],0,"(41628, -64, -70, -68, -64)"
2025/04/18/03:08:11.922064,[],0,"(41602, -62, -63, -66, -64)"
2025/04/18/03:08:11.922071,[],0,"(41602, -62, -62, -66, -64)"
2025/04/18/03:08:11.922217,[],0,"(41602, -61, -62, -66, -64)"
2025/04/18/03:08:11.922225,[],0,"(41602, -62, -62, -67, -64)"
2025/04/18/03:08:11.922233,[],0,"(41602, -62, -62, -66, -64)"
2025/04/18/03:08:11.922372,[],0,"(41602, -56, -58, -62, -60)"
2025/04/18/03:08:11.922379,[],0,"(41602, -62, -62, -67, -64)"
2025/04/18/03:08:11.922387,[],0,"(41602, -62, -63, -67, -64)"
2025/04/18/03:08:11.922402,[],0,"(41602, -62, -62, -67, -64)"
2025/04/18/03:08:11.922544,[],0,"(41602, -62, -63, -67, -64)"
2025/04/18/03:08:12.021851,[],0,"(41602, -62, -63, -67, -65)"
2025/04/18/03:08:12.023412,[],0,"(41341, -48, -45, -46, -47)"
2025/04/18/03:08:12.023721,[],0,"(41628, -64, -70, -69, -64)"
2025/04/18/03:08:12.024225,[],0,"(41602, -62, -63, -67, -65)"
2025/04/18/03:08:12.024476,[],0,"(41602, -63, -63, -67, -65)"
2025/04/18/03:08:12.025048,[],0,"(41602, -63, -63, -67, -65)"
2025/04/18/03:08:12.025259,[],0,"(41602, -62, -63, -67, -65)"
2025/04/18/03:08:12.025404,[],0,"(41602, -63, -63, -67, -65)"
2025/04/18/03:08:12.025412,[],0,"(41602, -57, -58, -63, -61)"
2025/04/18/03:08:12.025416,[],0,"(41602, -63, -63, -67, -65)"
2025/04/18/03:08:12.025434,[],0,"(41602, -63, -63, -67, -65)"
2025/04/18/03:08:12.025613,[],0,"(41602, -63, -63, -67, -65)"
2025/04/18/03:08:12.025627,[],0,"(41602, -63, -64, -67, -66)"
2025/04/18/03:08:12.121880,[],0,"(41602, -63, -63, -67, -66)"
2025/04/18/03:08:12.122633,[],0,"(41341, -47, -46, -46, -47)"
2025/04/18/03:08:12.122797,[],0,"(41628, -63, -69, -67, -63)"
2025/04/18/03:08:12.123031,[],0,"(41602, -63, -63, -67, -66)"
2025/04/18/03:08:12.123996,[],0,"(41602, -63, -63, -67, -66)"
