time,.layout.dim,.layout.data_offset,.data
2025/04/18/03:17:33.145040,[],0,"(41341, -70, -70, -77, -70)"
2025/04/18/03:17:33.145712,[],0,"(41602, -54, -53, -52, -57)"
2025/04/18/03:17:33.145903,[],0,"(41628, -66, -62, -64, -64)"
2025/04/18/03:17:33.146131,[],0,"(41628, -69, -66, -66, -66)"
2025/04/18/03:17:33.146577,[],0,"(41628, -70, -66, -66, -66)"
2025/04/18/03:17:33.146919,[],0,"(41628, -70, -66, -66, -66)"
2025/04/18/03:17:33.147098,[],0,"(41628, -70, -67, -65, -66)"
2025/04/18/03:17:33.147114,[],0,"(41628, -72, -70, -69, -70)"
2025/04/18/03:17:33.147130,[],0,"(41628, -65, -67, -67, -67)"
2025/04/18/03:17:33.147141,[],0,"(41628, -70, -67, -67, -67)"
2025/04/18/03:17:33.243462,[],0,"(41628, -69, -67, -67, -67)"
2025/04/18/03:17:33.244435,[],0,"(41628, -69, -68, -67, -66)"
2025/04/18/03:17:33.244685,[],0,"(41628, -69, -67, -67, -66)"
2025/04/18/03:17:33.244905,[],0,"(41341, -70, -70, -74, -70)"
2025/04/18/03:17:33.245095,[],0,"(41602, -54, -55, -53, -57)"
2025/04/18/03:17:33.245226,[],0,"(41628, -70, -66, -67, -66)"
2025/04/18/03:17:33.245527,[],0,"(41628, -67, -62, -64, -64)"
2025/04/18/03:17:33.245680,[],0,"(41628, -71, -67, -66, -67)"
2025/04/18/03:17:33.245929,[],0,"(41628, -69, -67, -66, -67)"
2025/04/18/03:17:33.246072,[],0,"(41628, -69, -66, -65, -67)"
2025/04/18/03:17:33.246280,[],0,"(41628, -69, -67, -66, -67)"
2025/04/18/03:17:33.246399,[],0,"(41628, -70, -68, -67, -66)"
2025/04/18/03:17:33.246413,[],0,"(41628, -68, -67, -66, -66)"
2025/04/18/03:17:33.343102,[],0,"(41628, -68, -66, -66, -66)"
2025/04/18/03:17:33.343245,[],0,"(41628, -69, -66, -66, -66)"
2025/04/18/03:17:33.343455,[],0,"(41628, -70, -67, -66, -66)"
2025/04/18/03:17:33.343599,[],0,"(41341, -70, -71, -74, -71)"
2025/04/18/03:17:33.343611,[],0,"(41602, -55, -56, -54, -59)"
2025/04/18/03:17:33.343731,[],0,"(41628, -69, -66, -66, -67)"
2025/04/18/03:17:33.343739,[],0,"(41628, -66, -62, -64, -64)"
2025/04/18/03:17:33.343761,[],0,"(41628, -70, -67, -66, -67)"
2025/04/18/03:17:33.343909,[],0,"(41628, -69, -68, -66, -67)"
2025/04/18/03:17:33.343947,[],0,"(41628, -68, -67, -66, -66)"
2025/04/18/03:17:33.343956,[],0,"(41628, -68, -66, -67, -66)"
2025/04/18/03:17:33.343963,[],0,"(41628, -70, -66, -66, -66)"
2025/04/18/03:17:33.343969,[],0,"(41628, -69, -67, -66, -66)"
2025/04/18/03:17:33.443226,[],0,"(41628, -69, -67, -66, -66)"
2025/04/18/03:17:33.443346,[],0,"(41628, -70, -66, -66, -67)"
2025/04/18/03:17:33.443526,[],0,"(41628, -69, -66, -66, -67)"
2025/04/18/03:17:33.443649,[],0,"(41341, -69, -70, -74, -70)"
2025/04/18/03:17:33.443773,[],0,"(41628, -68, -67, -66, -66)"
2025/04/18/03:17:33.443900,[],0,"(41602, -56, -55, -55, -60)"
2025/04/18/03:17:33.444004,[],0,"(41628, -64, -63, -64, -64)"
2025/04/18/03:17:33.444020,[],0,"(41628, -69, -66, -66, -66)"
2025/04/18/03:17:33.444030,[],0,"(41628, -69, -66, -67, -66)"
2025/04/18/03:17:33.444221,[],0,"(41628, -70, -65, -65, -66)"
2025/04/18/03:17:33.444227,[],0,"(41628, -70, -66, -65, -67)"
2025/04/18/03:17:33.444239,[],0,"(41628, -67, -64, -64, -65)"
2025/04/18/03:17:33.444246,[],0,"(41628, -69, -67, -66, -67)"
2025/04/18/03:17:33.444283,[],0,"(41628, -68, -67, -67, -66)"
2025/04/18/03:17:33.542954,[],0,"(41628, -69, -66, -67, -66)"
2025/04/18/03:17:33.543161,[],0,"(41628, -69, -67, -66, -66)"
2025/04/18/03:17:33.543351,[],0,"(41628, -69, -67, -66, -66)"
2025/04/18/03:17:33.543579,[],0,"(41341, -70, -70, -74, -71)"
2025/04/18/03:17:33.543738,[],0,"(41628, -69, -66, -66, -66)"
