time,.layout.dim,.layout.data_offset,.data
2025/04/18/03:17:32.562208,[],0,"(41602, 0, 710, 41341, 26, 700, 41628, 26, 700)"
2025/04/18/03:17:32.664219,[],0,"(41602, 0, 810, 41341, 26, 800, 41628, 26, 800)"
2025/04/18/03:17:32.762429,[],0,"(41602, 0, 910, 41341, 26, 900, 41628, 26, 900)"
2025/04/18/03:17:32.862451,[],0,"(41602, 0, 80, 41341, 26, 80, 41628, 26, 80)"
2025/04/18/03:17:32.962654,[],0,"(41602, 0, 180, 41341, 26, 180, 41628, 26, 180)"
2025/04/18/03:17:33.062362,[],0,"(41602, 0, 280, 41341, 26, 280, 41628, 26, 280)"
2025/04/18/03:17:33.163770,[],0,"(41602, 0, 380, 41341, 26, 380, 41628, 26, 380)"
2025/04/18/03:17:33.262623,[],0,"(41602, 0, 480, 41341, 26, 480, 41628, 26, 480)"
2025/04/18/03:17:33.362483,[],0,"(41602, 0, 580, 41341, 26, 580, 41628, 26, 580)"
2025/04/18/03:17:33.462472,[],0,"(41602, 0, 680, 41341, 26, 680, 41628, 26, 680)"
2025/04/18/03:17:33.562073,[],0,"(41602, 0, 780, 41341, 26, 780, 41628, 26, 780)"
2025/04/18/03:17:33.664302,[],0,"(41602, 0, 880, 41341, 26, 880, 41628, 26, 880)"
2025/04/18/03:17:33.762243,[],0,"(41602, 0, 980, 41341, 26, 980, 41628, 26, 980)"
2025/04/18/03:17:33.862559,[],0,"(41602, 0, 80, 41341, 26, 80, 41628, 25, 80)"
2025/04/18/03:17:33.962419,[],0,"(41602, 0, 180, 41341, 26, 180, 41628, 25, 180)"
2025/04/18/03:17:34.062770,[],0,"(41602, 0, 40, 41341, 25, 30, 41628, 25, 30)"
2025/04/18/03:17:34.162995,[],0,"(41602, 0, 140, 41341, 25, 130, 41628, 25, 130)"
2025/04/18/03:17:34.267242,[],0,"(41602, 0, 240, 41341, 25, 230, 41628, 25, 230)"
2025/04/18/03:17:34.362260,[],0,"(41602, 0, 340, 41341, 25, 330, 41628, 25, 330)"
2025/04/18/03:17:34.462884,[],0,"(41602, 0, 440, 41341, 25, 430, 41628, 25, 430)"
2025/04/18/03:17:34.562072,[],0,"(41602, 0, 540, 41341, 25, 530, 41628, 25, 530)"
2025/04/18/03:17:34.662732,[],0,"(41602, 0, 640, 41341, 25, 630, 41628, 25, 630)"
2025/04/18/03:17:34.762446,[],0,"(41602, 0, 740, 41341, 25, 730, 41628, 25, 730)"
2025/04/18/03:17:34.862962,[],0,"(41602, 0, 80, 41341, 25, 70, 41628, 25, 70)"
2025/04/18/03:17:34.962369,[],0,"(41602, 0, 180, 41341, 25, 170, 41628, 25, 170)"
2025/04/18/03:17:35.062205,[],0,"(41602, 0, 280, 41341, 25, 270, 41628, 25, 270)"
2025/04/18/03:17:35.163229,[],0,"(41602, 0, 380, 41341, 25, 370, 41628, 25, 370)"
2025/04/18/03:17:35.262844,[],0,"(41602, 0, 480, 41341, 25, 470, 41628, 25, 470)"
2025/04/18/03:17:35.362444,[],0,"(41602, 0, 580, 41341, 25, 570, 41628, 25, 570)"
2025/04/18/03:17:35.464308,[],0,"(41602, 0, 680, 41341, 25, 670, 41628, 25, 670)"
2025/04/18/03:17:35.562415,[],0,"(41602, 0, 780, 41341, 25, 770, 41628, 25, 770)"
2025/04/18/03:17:35.663531,[],0,"(41602, 0, 880, 41341, 25, 870, 41628, 25, 870)"
2025/04/18/03:17:35.763071,[],0,"(41602, 0, 980, 41341, 25, 970, 41628, 25, 970)"
2025/04/18/03:17:35.862991,[],0,"(41602, 0, 40, 41341, 25, 40, 41628, 24, 40)"
2025/04/18/03:17:35.962853,[],0,"(41602, 0, 140, 41341, 25, 140, 41628, 24, 140)"
2025/04/18/03:17:36.062859,[],0,"(41602, 0, 240, 41341, 25, 240, 41628, 24, 240)"
2025/04/18/03:17:36.169434,[],0,"(41602, 0, 340, 41341, 25, 340, 41628, 24, 340)"
2025/04/18/03:17:36.263566,[],0,"(41602, 0, 440, 41341, 25, 440, 41628, 24, 440)"
2025/04/18/03:17:36.368854,[],0,"(41602, 0, 540, 41341, 25, 540, 41628, 24, 540)"
2025/04/18/03:17:36.463161,[],0,"(41602, 0, 640, 41341, 25, 640, 41628, 24, 640)"
2025/04/18/03:17:36.563035,[],0,"(41602, 0, 740, 41341, 25, 740, 41628, 24, 740)"
2025/04/18/03:17:36.664311,[],0,"(41602, 0, 840, 41341, 25, 840, 41628, 24, 840)"
2025/04/18/03:17:36.767010,[],0,"(41602, 0, 940, 41341, 25, 940, 41628, 24, 940)"
2025/04/18/03:17:36.863059,[],0,"(41602, 0, 30, 41341, 25, 30, 41628, 24, 20)"
2025/04/18/03:17:36.962493,[],0,"(41602, 0, 130, 41341, 25, 130, 41628, 24, 120)"
2025/04/18/03:17:37.062686,[],0,"(41602, 0, 230, 41341, 25, 230, 41628, 24, 220)"
2025/04/18/03:17:37.162716,[],0,"(41602, 0, 330, 41341, 25, 330, 41628, 24, 320)"
2025/04/18/03:17:37.262731,[],0,"(41602, 0, 430, 41341, 25, 430, 41628, 24, 420)"
2025/04/18/03:17:37.362600,[],0,"(41602, 0, 530, 41341, 25, 530, 41628, 24, 520)"
2025/04/18/03:17:37.462668,[],0,"(41602, 0, 630, 41341, 25, 630, 41628, 24, 620)"
2025/04/18/03:17:37.562350,[],0,"(41602, 0, 730, 41341, 25, 730, 41628, 24, 720)"
2025/04/18/03:17:37.662199,[],0,"(41602, 0, 830, 41341, 25, 830, 41628, 24, 820)"
2025/04/18/03:17:37.762258,[],0,"(41602, 0, 930, 41341, 25, 930, 41628, 24, 920)"
2025/04/18/03:17:37.862465,[],0,"(41602, 0, 40, 41341, 25, 40, 41628, 24, 40)"
2025/04/18/03:17:37.962613,[],0,"(41602, 0, 140, 41341, 25, 140, 41628, 24, 140)"
2025/04/18/03:17:38.062077,[],0,"(41602, 0, 240, 41341, 25, 240, 41628, 24, 240)"
2025/04/18/03:17:38.162187,[],0,"(41602, 0, 340, 41341, 25, 340, 41628, 24, 340)"
2025/04/18/03:17:38.262469,[],0,"(41602, 0, 440, 41341, 25, 440, 41628, 24, 440)"
2025/04/18/03:17:38.363693,[],0,"(41602, 0, 540, 41341, 25, 540, 41628, 24, 540)"
2025/04/18/03:17:38.462962,[],0,"(41602, 0, 640, 41341, 25, 640, 41628, 24, 640)"
2025/04/18/03:17:38.562138,[],0,"(41602, 0, 740, 41341, 25, 740, 41628, 24, 740)"
2025/04/18/03:17:38.662305,[],0,"(41602, 0, 840, 41341, 25, 840, 41628, 24, 840)"
2025/04/18/03:17:38.765028,[],0,"(41602, 0, 940, 41341, 25, 940, 41628, 24, 940)"
2025/04/18/03:17:38.862553,[],0,"(41602, 0, 1040, 41341, 25, 1040, 41628, 24, 1040)"
2025/04/18/03:17:38.962399,[],0,"(41602, 0, 100, 41341, 24, 90, 41628, 23, 90)"
2025/04/18/03:17:39.062452,[],0,"(41602, 0, 200, 41341, 24, 190, 41628, 23, 190)"
2025/04/18/03:17:39.162725,[],0,"(41602, 0, 60, 41341, 25, 60, 41628, 23, 60)"
2025/04/18/03:17:39.262990,[],0,"(41602, 0, 160, 41341, 25, 160, 41628, 23, 160)"
2025/04/18/03:17:39.364235,[],0,"(41602, 0, 260, 41341, 25, 260, 41628, 23, 260)"
2025/04/18/03:17:39.469393,[],0,"(41602, 0, 360, 41341, 25, 360, 41628, 23, 360)"
2025/04/18/03:17:39.562665,[],0,"(41602, 0, 460, 41341, 25, 460, 41628, 23, 460)"
2025/04/18/03:17:39.662904,[],0,"(41602, 0, 560, 41341, 25, 560, 41628, 23, 560)"
2025/04/18/03:17:39.763356,[],0,"(41602, 0, 660, 41341, 25, 660, 41628, 23, 660)"
2025/04/18/03:17:39.863334,[],0,"(41602, 0, 760, 41341, 25, 760, 41628, 23, 760)"
2025/04/18/03:17:39.964191,[],0,"(41602, 0, 100, 41341, 25, 100, 41628, 23, 100)"
2025/04/18/03:17:40.062334,[],0,"(41602, 0, 200, 41341, 25, 200, 41628, 23, 200)"
2025/04/18/03:17:40.163276,[],0,"(41602, 0, 300, 41341, 25, 300, 41628, 23, 300)"
2025/04/18/03:17:40.263223,[],0,"(41602, 0, 400, 41341, 25, 400, 41628, 23, 400)"
2025/04/18/03:17:40.364207,[],0,"(41602, 0, 500, 41341, 25, 500, 41628, 23, 500)"
2025/04/18/03:17:40.463213,[],0,"(41602, 0, 600, 41341, 25, 600, 41628, 23, 600)"
